src_ip,dst_ip,src_port,dst_port,protocol,duration_sec,total_bytes,packet_count,bytes_per_sec,direction,destination_type,cost_category,total_gb
192.168.18.20,20.42.65.90,60354,443,TCP,0.37,240,3,240.0,UPLOAD,CLOUD,CLOUD_EGRESS,2.4e-07
20.42.65.90,192.168.18.20,443,60354,TCP,0.0,72,1,72.0,DOWNLOAD,INTERNET,OTHER,7.2e-08
127.0.0.1,127.0.0.53,46415,53,UDP,0.0,218,2,218.0,INTERNAL,INTERNET,OTHER,2.18e-07
127.0.0.53,127.0.0.1,53,46415,UDP,0.0,564,2,564.0,INTERNAL,LOCAL,OTHER,5.64e-07
192.168.18.20,192.168.18.1,45431,53,UDP,0.0,119,1,119.0,INTERNAL,INTERNET,OTHER,1.19e-07
192.168.18.1,192.168.18.20,53,45431,UDP,0.0,119,1,119.0,INTERNAL,INTERNET,OTHER,1.19e-07
192.168.18.20,20.42.65.90,60364,443,TCP,1.19,3675,13,3094.09,UPLOAD,CLOUD,CLOUD_EGRESS,3.675e-06
20.42.65.90,192.168.18.20,443,60364,TCP,1.24,5971,11,4825.58,DOWNLOAD,INTERNET,OTHER,5.971e-06
192.168.18.20,20.44.10.123,50138,443,TCP,29.5,75347,64,2553.71,UPLOAD,CLOUD,CLOUD_EGRESS,7.5347e-05
20.44.10.123,192.168.18.20,443,50138,TCP,29.56,5125,52,173.37,DOWNLOAD,INTERNET,OTHER,5.125e-06
127.0.0.1,127.0.0.53,59370,53,UDP,0.0,188,2,188.0,INTERNAL,INTERNET,OTHER,1.88e-07
192.168.18.20,192.168.18.1,39461,53,UDP,0.0,94,1,94.0,INTERNAL,INTERNET,OTHER,9.4e-08
192.168.18.20,192.168.18.1,39644,53,UDP,0.0,94,1,94.0,INTERNAL,INTERNET,OTHER,9.4e-08
192.168.18.20,3.173.21.63,34372,443,TCP,0.3,4087,13,4087.0,UPLOAD,INTERNET,INTERNET_EGRESS,4.087e-06
127.0.0.1,127.0.0.53,56028,53,UDP,0.0,94,1,94.0,INTERNAL,INTERNET,OTHER,9.4e-08
192.168.18.1,192.168.18.20,53,39644,UDP,0.0,218,1,218.0,INTERNAL,INTERNET,OTHER,2.18e-07
192.168.18.1,192.168.18.20,53,39461,UDP,0.0,153,1,153.0,INTERNAL,INTERNET,OTHER,1.53e-07
192.168.18.20,192.168.18.1,53514,53,UDP,0.0,106,1,106.0,INTERNAL,INTERNET,OTHER,1.06e-07
127.0.0.53,127.0.0.1,53,56028,UDP,0.0,153,1,153.0,INTERNAL,LOCAL,OTHER,1.53e-07
127.0.0.53,127.0.0.1,53,59370,UDP,0.01,368,2,368.0,INTERNAL,LOCAL,OTHER,3.68e-07
192.168.18.1,192.168.18.20,53,53514,UDP,0.0,106,1,106.0,INTERNAL,INTERNET,OTHER,1.06e-07
3.173.21.63,192.168.18.20,443,34372,TCP,0.27,2936,11,2936.0,DOWNLOAD,INTERNET,OTHER,2.936e-06
