src_ip,dst_ip,src_port,dst_port,protocol,duration_sec,total_bytes,packet_count,bytes_per_sec,total_gb,hour,direction,size_category,is_peak_hour,destination_type,cost_urgency,traffic_type,is_peak,cost_nrs
192.168.18.20,20.42.65.90,60354,443,TCP,0.37,240000000,3,648648648.6486486,0.22351741790771484,14,UPLOAD,MEDIUM,True,CLOUD,False,CLOUD_EGRESS,True,28.4985
20.42.65.90,192.168.18.20,443,60354,TCP,0.0,72000000,1,720000000.0,0.06705522537231445,3,DOWNLOAD,SMALL,False,INTERNAL,False,INTERNET_INGRESS,False,1.0058
127.0.0.1,127.0.0.53,46415,53,UDP,0.0,218000000,2,2180000000.0,0.20302832126617432,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,OTHER,True,3.0454
127.0.0.53,127.0.0.1,53,46415,UDP,0.0,564000000,2,5640000000.0,0.5252659320831299,3,DOWNLOAD,MEDIUM,False,INTERNAL,False,OTHER,False,5.2527
192.168.18.20,192.168.18.1,45431,53,UDP,0.0,119000000,1,1190000000.0,0.11082738637924194,14,INTERNAL,MEDIUM,True,INTERNAL,False,INTERNAL,True,0.0
192.168.18.1,192.168.18.20,53,45431,UDP,0.0,119000000,1,1190000000.0,0.11082738637924194,3,INTERNAL,MEDIUM,False,INTERNAL,False,INTERNAL,False,0.0
192.168.18.20,20.42.65.90,60364,443,TCP,1.19,36750000000,13,3088235294.117647,34.226104617118835,14,UPLOAD,VERY_LARGE,True,CLOUD,True,CLOUD_EGRESS,True,4363.8283
20.42.65.90,192.168.18.20,443,60364,TCP,1.24,5971000000,11,4815322580.645162,5.560927093029022,3,DOWNLOAD,LARGE,False,INTERNAL,False,INTERNET_INGRESS,False,83.4139
192.168.18.20,20.44.10.123,50138,443,TCP,29.5,75347000000,64,2554135593.220339,70.17236202955246,14,UPLOAD,VERY_LARGE,True,CLOUD,True,CLOUD_EGRESS,True,8946.9762
20.44.10.123,192.168.18.20,443,50138,TCP,29.56,51250000000,52,173376184.03247634,47.730281949043274,3,DOWNLOAD,VERY_LARGE,False,INTERNAL,False,INTERNET_INGRESS,False,715.9542
127.0.0.1,127.0.0.53,59370,53,UDP,0.0,188000000,2,1880000000.0,0.17508864402770996,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,OTHER,True,2.6263
192.168.18.20,192.168.18.1,39461,53,UDP,0.0,94000000,1,940000000.0,0.08754432201385498,3,INTERNAL,SMALL,False,INTERNAL,False,INTERNAL,False,0.0
192.168.18.20,192.168.18.1,39644,53,UDP,0.0,94000000,1,940000000.0,0.08754432201385498,14,INTERNAL,SMALL,True,INTERNAL,False,INTERNAL,True,0.0
192.168.18.20,3.173.21.63,34372,443,TCP,0.3,4087000000,13,13623333333.333334,3.8063153624534607,3,UPLOAD,LARGE,False,INTERNET,False,INTERNET_EGRESS,False,285.4737
127.0.0.1,127.0.0.53,56028,53,UDP,0.0,94000000,1,940000000.0,0.08754432201385498,14,DOWNLOAD,SMALL,True,INTERNAL,False,OTHER,True,1.3132
192.168.18.1,192.168.18.20,53,39644,UDP,0.0,218000000,1,2180000000.0,0.20302832126617432,3,INTERNAL,MEDIUM,False,INTERNAL,False,INTERNAL,False,0.0
192.168.18.1,192.168.18.20,53,39461,UDP,0.0,153000000,1,1530000000.0,0.1424923539161682,14,INTERNAL,MEDIUM,True,INTERNAL,False,INTERNAL,True,0.0
192.168.18.20,192.168.18.1,53514,53,UDP,0.0,106000000,1,1060000000.0,0.09872019290924072,3,INTERNAL,SMALL,False,INTERNAL,False,INTERNAL,False,0.0
