src_ip,dst_ip,src_port,dst_port,protocol,duration_sec,total_bytes,packet_count,bytes_per_sec
192.168.18.20,20.42.65.90,60354,443,TCP,0.37,240000000,3,648648648.6486486
20.42.65.90,192.168.18.20,443,60354,TCP,0.0,72000000,1,720000000.0
127.0.0.1,127.0.0.53,46415,53,UDP,0.0,218000000,2,2180000000.0
127.0.0.53,127.0.0.1,53,46415,UDP,0.0,564000000,2,5640000000.0
192.168.18.20,192.168.18.1,45431,53,UDP,0.0,119000000,1,1190000000.0
192.168.18.1,192.168.18.20,53,45431,UDP,0.0,119000000,1,1190000000.0
192.168.18.20,20.42.65.90,60364,443,TCP,1.19,36750000000,13,3088235294.117647
20.42.65.90,192.168.18.20,443,60364,TCP,1.24,5971000000,11,4815322580.645162
192.168.18.20,20.44.10.123,50138,443,TCP,29.5,75347000000,64,2554135593.220339
20.44.10.123,192.168.18.20,443,50138,TCP,29.56,51250000000,52,173376184.03247634
127.0.0.1,127.0.0.53,59370,53,UDP,0.0,188000000,2,1880000000.0
192.168.18.20,192.168.18.1,39461,53,UDP,0.0,94000000,1,940000000.0
192.168.18.20,192.168.18.1,39644,53,UDP,0.0,94000000,1,940000000.0
192.168.18.20,3.173.21.63,34372,443,TCP,0.3,4087000000,13,13623333333.333334
127.0.0.1,127.0.0.53,56028,53,UDP,0.0,94000000,1,940000000.0
192.168.18.1,192.168.18.20,53,39644,UDP,0.0,218000000,1,2180000000.0
192.168.18.1,192.168.18.20,53,39461,UDP,0.0,153000000,1,1530000000.0
192.168.18.20,192.168.18.1,53514,53,UDP,0.0,106000000,1,1060000000.0
127.0.0.53,127.0.0.1,53,56028,UDP,0.0,153000000,1,1530000000.0
127.0.0.53,127.0.0.1,53,59370,UDP,0.01,368000000,2,3680000000.0
192.168.18.1,192.168.18.20,53,53514,UDP,0.0,106000000,1,1060000000.0
3.173.21.63,192.168.18.20,443,34372,TCP,0.27,2936000000,11,10874074074.074074
127.0.0.1,127.0.0.53,2768,53,UDP,0.0,91000000,1,910000000.0
127.0.0.1,127.0.0.53,13878,53,UDP,0.0,91000000,1,910000000.0
127.0.0.1,127.0.0.53,54408,53,UDP,0.0,91000000,1,910000000.0
192.168.18.20,192.168.18.1,40545,53,UDP,0.0,102000000,1,1020000000.0
192.168.18.20,192.168.18.1,49066,53,UDP,0.0,102000000,1,1020000000.0
192.168.18.20,192.168.18.1,55751,53,UDP,0.0,102000000,1,1020000000.0
192.168.18.1,192.168.18.20,53,40545,UDP,0.0,195000000,1,1950000000.0
127.0.0.53,127.0.0.1,53,2768,UDP,0.0,184000000,1,1840000000.0
192.168.18.1,192.168.18.20,53,49066,UDP,0.0,1180000000,1,1180000000.0
127.0.0.53,127.0.0.1,53,13878,UDP,0.0,107000000,1,1070000000.0
192.168.18.1,192.168.18.20,53,55751,UDP,0.0,195000000,1,1950000000.0
127.0.0.53,127.0.0.1,53,54408,UDP,0.0,184000000,1,1840000000.0
192.168.18.20,34.110.164.207,41673,443,UDP,0.49,3978000000,10,8118367346.938776
34.110.164.207,192.168.18.20,443,41673,UDP,0.52,5488000000,11,10553846153.846153
127.0.0.1,127.0.0.53,44396,53,UDP,0.0,186000000,2,1860000000.0
192.168.18.20,192.168.18.1,56956,53,UDP,0.0,93000000,1,930000000.0
192.168.18.20,192.168.18.1,43404,53,UDP,0.0,93000000,1,930000000.0
192.168.18.20,43.109.67.47,52194,443,TCP,12.19,7896000000,15,647744052.5020509
192.168.18.1,192.168.18.20,53,56956,UDP,0.0,318000000,1,3180000000.0
192.168.18.1,192.168.18.20,53,43404,UDP,0.0,266000000,1,2660000000.0
127.0.0.53,127.0.0.1,53,44396,UDP,0.01,566000000,2,5660000000.0
192.168.18.20,192.168.18.1,37201,53,UDP,0.0,123000000,1,1230000000.0
192.168.18.1,192.168.18.20,53,37201,UDP,0.0,123000000,1,1230000000.0
43.109.67.47,192.168.18.20,443,52194,TCP,12.15,6619000000,12,544773662.5514404
127.0.0.1,127.0.0.53,35633,53,UDP,0.0,182000000,2,1820000000.0
192.168.18.20,192.168.18.1,34031,53,UDP,0.0,91000000,1,910000000.0
192.168.18.20,192.168.18.1,42902,53,UDP,0.0,91000000,1,910000000.0
192.168.18.1,192.168.18.20,53,34031,UDP,0.0,107000000,1,1070000000.0
127.0.0.53,127.0.0.1,53,35633,UDP,0.01,226000000,2,2260000000.0
192.168.18.1,192.168.18.20,53,42902,UDP,0.0,119000000,1,1190000000.0
127.0.0.1,127.0.0.53,37599,53,UDP,0.0,174000000,2,1740000000.0
192.168.18.20,192.168.18.1,35951,53,UDP,0.0,87000000,1,870000000.0
192.168.18.20,192.168.18.1,48942,53,UDP,0.0,87000000,1,870000000.0
127.0.0.1,127.0.0.53,57263,53,UDP,0.0,87000000,1,870000000.0
192.168.18.20,20.205.243.166,52554,443,TCP,3.16,16078000000,88,5087974683.544304
192.168.18.1,192.168.18.20,53,35951,UDP,0.0,103000000,1,1030000000.0
127.0.0.53,127.0.0.1,53,37599,UDP,0.0,255000000,2,2550000000.0
127.0.0.53,127.0.0.1,53,57263,UDP,0.0,103000000,1,1030000000.0
